"client_id","gender","age","membership_duration","visit_count","fitness_category_count","total_visit_cost","fitness_category_crossfit","fitness_category_goboxing","fitness_category_АКАДЕМИЯ_ИЛЬИНА","fitness_category_ВОСТОЧНЫЕ_ЕДИНОБОРСТВА","fitness_category_ГРУППОВЫЕ_ПРОГРАММЫ","fitness_category_ДЕТСКИЙ_КЛУБ","fitness_category_ТРЕНАЖЕРНЫЙ_ЗАЛ","fitness_category_СТУДИЯ_ЙОГИ_ШАКТИ","fitness_category_ВОДНЫЕ_ПРОГРАММЫ"
66,"1","34","894.5000000000000000","48","2","27184800.00",0,0,0,0,0,0,1,1,0
68,"1","27","1197.7500000000000000","42","2","23786700.00",0,0,0,0,0,0,1,1,0
69,"1","5","1748.0000000000000000","20","2","2214000.00",0,0,0,0,0,1,0,0,1
71,"0","24","1537.0000000000000000","168","4","114300900.00",1,1,0,1,0,0,1,0,0
73,"1","34","656.2500000000000000","148","4","86785350.00",0,1,0,0,1,0,1,1,0
74,"0","34","1866.2500000000000000","0","2","0",0,0,0,0,0,0,0,0,0
75,"0","11","1198.7500000000000000","22","2","2435400.00",0,0,0,0,0,1,0,0,1
76,"1","19","1046.5000000000000000","92","4","31144300.00",0,0,0,0,1,0,1,1,1
77,"0","38","725.2500000000000000","50","2","55178750.00",0,1,0,0,0,0,1,0,0
78,"1","13","95.0000000000000000","22","2","2435400.00",0,0,0,0,0,1,0,0,1
79,"0","10","696.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0
80,"0","12","365.2500000000000000","24","2","2656800.00",0,0,0,0,0,1,0,0,1
81,"0","19","666.2500000000000000","36","2","20201400.00",0,0,0,1,0,0,1,0,0
82,"1","21","297.0000000000000000","80","4","27082000.00",0,0,0,0,1,0,1,1,1
84,"1","32","84.0000000000000000","88","4","29790200.00",0,0,0,0,1,0,1,1,1
86,"1","38","365.2500000000000000","40","2","22654000.00",0,0,0,0,0,0,1,1,0
88,"1","31","1416.7500000000000000","185","5","94977150.00",0,1,0,0,1,0,1,1,1
89,"1","51","365.2500000000000000","51","3","19255900.00",0,0,0,0,1,0,1,1,0
90,"1","37","365.2500000000000000","75","3","28317500.00",0,0,0,0,1,0,1,1,0
91,"0","24","365.2500000000000000","24","2","14588400.00",0,0,0,0,0,0,1,0,1
94,"0","51","277.0000000000000000","19","1","18891700.00",0,0,0,0,0,0,1,0,0
95,"0","22","365.2500000000000000","93","3","80396950.00",1,1,0,0,0,0,1,0,0
96,"0","25","1733.0000000000000000","11","1","10937300.00",0,0,0,0,0,0,1,0,0
97,"1","49","228.0000000000000000","0","3","0",0,0,0,0,0,0,0,0,0
98,"1","27","1001.5000000000000000","75","3","33852500.00",0,0,0,0,0,0,1,1,1
101,"0","29","365.2500000000000000","48","3","35314400.00",0,1,0,0,1,0,1,0,0
102,"0","13","1032.5000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
103,"0","23","365.2500000000000000","44","2","48557300.00",0,1,0,0,0,0,1,0,0
